onset	duration	trial	event	delay	response
442.61	10.52249999999998	1	baseline	0.05	n/a
453.1325	20.019999999999982	1	heartbeat	0.05	synchronous
483.593	10.269499999999994	2	baseline	0.0	n/a
493.8625	20.019499999999937	2	heartbeat	0.0	synchronous
517.4925	10.096000000000004	3	baseline	0.0	n/a
527.5885	20.020000000000095	3	heartbeat	0.0	synchronous
551.109	10.95399999999995	4	baseline	0.05	n/a
562.063	20.019999999999982	4	heartbeat	0.05	synchronous
585.375	10.809499999999957	5	baseline	0.05	n/a
596.1845	20.020000000000095	5	heartbeat	0.05	delayed
627.408	10.548999999999978	6	baseline	0.05	n/a
637.957	20.019999999999982	6	heartbeat	0.05	synchronous
659.3745	10.635999999999967	7	baseline	0.0	n/a
670.0105	20.019999999999982	7	heartbeat	0.0	synchronous
692.1575	10.336999999999989	8	baseline	0.05	n/a
702.4945	20.019999999999982	8	heartbeat	0.05	synchronous
724.5405	10.880500000000097	9	baseline	0.0	n/a
735.421	20.019999999999982	9	heartbeat	0.0	delayed
757.357	10.966999999999985	10	baseline	0.0	n/a
768.324	20.020000000000095	10	heartbeat	0.0	delayed
790.307	10.138500000000022	11	baseline	0.0	n/a
800.4455	20.019999999999982	11	heartbeat	0.0	synchronous
821.573	10.26150000000007	12	baseline	0.0	n/a
831.8345	20.019999999999982	12	heartbeat	0.0	synchronous
854.7395	10.875499999999988	13	baseline	0.0	n/a
865.615	20.019999999999982	13	heartbeat	0.0	synchronous
886.939	10.841999999999985	14	baseline	0.0	n/a
897.781	20.020000000000095	14	heartbeat	0.0	synchronous
918.889	10.703499999999963	15	baseline	0.05	n/a
929.5925	20.019999999999982	15	heartbeat	0.05	synchronous
951.022	10.577499999999986	16	baseline	0.05	n/a
961.5995	20.019999999999982	16	heartbeat	0.05	synchronous
985.0885	10.855999999999995	17	baseline	0.05	n/a
995.9445	20.020000000000095	17	heartbeat	0.05	synchronous
1017.155	10.40949999999998	18	baseline	0.0	n/a
1027.5645	20.019999999999982	18	heartbeat	0.0	delayed
1048.9875	10.43100000000004	19	baseline	0.0	n/a
1059.4185	20.019500000000107	19	heartbeat	0.0	delayed
1081.104	10.290500000000065	20	baseline	0.0	n/a
1091.3945	20.019999999999982	20	heartbeat	0.0	synchronous
1112.5205	10.791999999999916	21	baseline	0.0	n/a
1123.3125	20.019999999999982	21	heartbeat	0.0	synchronous
1145.287	10.376999999999953	22	baseline	0.05	n/a
1155.664	20.019500000000107	22	heartbeat	0.05	delayed
1176.5865	10.704500000000053	23	baseline	0.0	n/a
1187.291	20.019500000000107	23	heartbeat	0.0	synchronous
1224.253	10.341000000000122	24	baseline	0.05	n/a
1234.594	20.01949999999988	24	heartbeat	0.05	synchronous
1255.5025	10.17100000000005	25	baseline	0.05	n/a
1265.6735	20.01949999999988	25	heartbeat	0.05	synchronous
1289.969	10.502500000000055	26	baseline	0.0	n/a
1300.4715	20.01949999999988	26	heartbeat	0.0	synchronous
1324.252	10.708499999999958	27	baseline	0.0	n/a
1334.9605	20.019500000000107	27	heartbeat	0.0	delayed
1358.452	10.862499999999955	28	baseline	0.0	n/a
1369.3145	20.019999999999982	28	heartbeat	0.0	synchronous
1391.618	10.060500000000047	29	baseline	0.0	n/a
1401.6785	20.019999999999982	29	heartbeat	0.0	delayed
1425.051	10.246000000000095	30	baseline	0.05	n/a
1435.297	20.019999999999982	30	heartbeat	0.05	delayed
1465.5675	10.913999999999987	31	baseline	0.0	n/a
1476.4815	20.019999999999982	31	heartbeat	0.0	delayed
1501.567	10.170499999999947	32	baseline	0.05	n/a
1511.7375	20.019999999999982	32	heartbeat	0.05	synchronous
1534.117	10.45399999999995	33	baseline	0.0	n/a
1544.571	20.019999999999982	33	heartbeat	0.0	synchronous
1567.0	10.013999999999896	34	baseline	0.0	n/a
1577.014	20.02000000000021	34	heartbeat	0.0	synchronous
1600.2495	10.348500000000058	35	baseline	0.0	n/a
1610.598	20.019500000000107	35	heartbeat	0.0	synchronous
1634.266	10.190499999999929	36	baseline	0.05	n/a
1644.4565	20.019999999999982	36	heartbeat	0.05	synchronous
1668.082	10.714999999999918	37	baseline	0.0	n/a
1678.797	20.019999999999982	37	heartbeat	0.0	synchronous
1703.082	10.496499999999969	38	baseline	0.05	n/a
1713.5785	20.019999999999982	38	heartbeat	0.05	synchronous
1741.9315	10.512500000000045	39	baseline	0.0	n/a
1752.444	20.019999999999982	39	heartbeat	0.0	synchronous
1780.4645	10.740999999999985	40	baseline	0.0	n/a
1791.2055	20.01949999999988	40	heartbeat	0.0	synchronous
1815.964	10.96550000000002	41	baseline	0.05	n/a
1826.9295	20.019500000000107	41	heartbeat	0.05	synchronous
1853.564	10.784999999999854	42	baseline	0.05	n/a
1864.349	20.019500000000107	42	heartbeat	0.05	synchronous
1897.5635	10.663000000000011	43	baseline	0.0	n/a
1908.2265	20.019999999999982	43	heartbeat	0.0	synchronous
1931.763	10.133000000000038	44	baseline	0.05	n/a
1941.896	20.019500000000107	44	heartbeat	0.05	synchronous
1966.946	10.58400000000006	45	baseline	0.05	n/a
1977.53	20.019999999999982	45	heartbeat	0.05	synchronous
2005.546	10.916500000000042	46	baseline	0.05	n/a
2016.4625	20.019999999999982	46	heartbeat	0.05	synchronous
2040.5455	10.752999999999929	47	baseline	0.05	n/a
2051.2985	20.019500000000335	47	heartbeat	0.05	synchronous
2076.1285	10.398000000000138	48	baseline	0.0	n/a
2086.5265	20.019999999999982	48	heartbeat	0.0	synchronous
2111.878	10.373499999999694	49	baseline	0.0	n/a
