onset	duration	trial	event	delay	response	uncertainty
42.78479322325438	10.511821624700257	1	baseline	0.0	n/a	n/a
53.30731983669102	20.0	1	heartbeat	0.0	synchronous	n/a
80.05162348877639	10.261612134249317	2	baseline	0.0	n/a	n/a
90.32362365256995	20.0	2	heartbeat	0.0	synchronous	n/a
114.00195823051035	10.085649167143625	3	baseline	0.05	n/a	n/a
124.097994745709	20.0	3	heartbeat	0.05	synchronous	n/a
145.9691051710397	10.943056105572367	4	baseline	0.0	n/a	n/a
156.92325906082988	20.0	4	heartbeat	0.0	delayed	n/a
181.17206506803632	10.80500292374538	5	baseline	0.05	n/a	n/a
191.98811197187752	20.0	5	heartbeat	0.05	synchronous	n/a
213.93615836650133	10.538164351471943	6	baseline	0.0	n/a	n/a
224.48501617461443	20.0	6	heartbeat	0.0	synchronous	n/a
249.5367082664743	10.625095466604668	7	baseline	0.05	n/a	n/a
260.17261775024235	20.0	7	heartbeat	0.05	synchronous	n/a
282.3703143345192	10.326972276605561	8	baseline	0.05	n/a	n/a
292.7078201659024	20.0	8	heartbeat	0.05	delayed	n/a
314.8538880283013	10.870249203970085	9	baseline	0.0	n/a	n/a
325.7351809479296	20.0	9	heartbeat	0.0	delayed	n/a
348.33757338672876	10.956001709628975	10	baseline	0.0	n/a	n/a
359.30373071786016	20.0	10	heartbeat	0.0	synchronous	n/a
381.4710607966408	10.1285702027692	11	baseline	0.05	n/a	n/a
391.61003168765455	20.0	11	heartbeat	0.05	delayed	n/a
413.2714579226449	10.250824458108447	12	baseline	0.0	n/a	n/a
423.5248097581789	20.0	12	heartbeat	0.0	delayed	n/a
447.27137239370495	10.864797587016586	13	baseline	0.0	n/a	n/a
458.14723668061197	20.0	13	heartbeat	0.0	synchronous	n/a
481.2554670199752	10.830983318889112	14	baseline	0.0	n/a	n/a
492.0976149197668	20.0	14	heartbeat	0.0	delayed	n/a
515.0058594206348	10.692743367965152	15	baseline	0.0	n/a	n/a
525.7095793932676	20.0	15	heartbeat	0.0	synchronous	n/a
547.3560212049633	10.566916838879365	16	baseline	0.0	n/a	n/a
557.93365804106	20.0	16	heartbeat	0.0	synchronous	n/a
581.0063876165077	10.845074792797902	17	baseline	0.0	n/a	n/a
591.8626524591818	20.0	17	heartbeat	0.0	synchronous	n/a
613.3399445796385	10.399305769217573	18	baseline	0.05	n/a	n/a
623.7488344078884	20.0	18	heartbeat	0.05	synchronous	n/a
645.440187189728	10.420378795729262	19	baseline	0.05	n/a	n/a
655.8711380716413	20.0	19	heartbeat	0.05	synchronous	n/a
679.7070322502404	10.280075962630159	20	baseline	0.0	n/a	n/a
689.9975181268528	20.0	20	heartbeat	0.0	synchronous	n/a
713.4408581415191	10.781117588817471	21	baseline	0.05	n/a	n/a
724.2327610282227	20.0	21	heartbeat	0.05	synchronous	n/a
746.7909325333312	10.366346915432077	22	baseline	0.05	n/a	n/a
757.1677358355373	20.0	22	heartbeat	0.05	synchronous	n/a
779.2083081202582	10.693933080657365	23	baseline	0.05	n/a	n/a
789.9132015416399	20.0	23	heartbeat	0.05	synchronous	n/a
812.5584913464263	10.330268836669315	24	baseline	0.05	n/a	n/a
822.8994206981733	20.0	24	heartbeat	0.05	delayed	n/a
844.4586428375915	10.160721233232008	25	baseline	0.05	n/a	n/a
854.6287910277024	20.0	25	heartbeat	0.05	delayed	n/a
877.2255185069516	10.491598917604904	26	baseline	0.05	n/a	n/a
887.7277598818764	20.0	26	heartbeat	0.05	synchronous	n/a
909.3090891744941	10.697736216476786	27	baseline	0.05	n/a	n/a
920.0177007727325	20.0	27	heartbeat	0.05	synchronous	n/a
942.9597204998136	10.851833935982159	28	baseline	0.0	n/a	n/a
953.8226819224656	20.0	28	heartbeat	0.0	synchronous	n/a
975.7431798474863	10.05004697035407	29	baseline	0.0	n/a	n/a
985.803595024161	20.0	29	heartbeat	0.0	delayed	n/a
1007.4600997669622	10.235798804812532	30	baseline	0.0	n/a	n/a
1017.7064145812765	20.0	30	heartbeat	0.0	delayed	n/a
1042.727248721756	10.903171810914861	31	baseline	0.05	n/a	n/a
1053.6416253205389	20.0	31	heartbeat	0.05	delayed	n/a
1076.927356801927	10.160242830374768	32	baseline	0.0	n/a	n/a
1087.0979346632957	20.0	32	heartbeat	0.0	synchronous	n/a
1109.7110961312428	10.443642236962667	33	baseline	0.0	n/a	n/a
1120.165541242808	20.0	33	heartbeat	0.0	synchronous	n/a
1142.3945060214028	10.004028243493044	34	baseline	0.05	n/a	n/a
1152.4087638342753	20.0	34	heartbeat	0.05	synchronous	n/a
1174.1950215725228	10.337949558883725	35	baseline	0.05	n/a	n/a
1184.5435961876065	20.0	35	heartbeat	0.05	synchronous	n/a
1205.9118871474639	10.18063309122417	36	baseline	0.0	n/a	n/a
1216.1008097175509	20.0	36	heartbeat	0.0	synchronous	n/a
1237.6120500853285	10.70415303161357	37	baseline	0.0	n/a	n/a
1248.3270903807133	20.0	37	heartbeat	0.0	synchronous	n/a
1270.4290182385594	10.485761044837867	38	baseline	0.05	n/a	n/a
1280.9256089609116	20.0	38	heartbeat	0.05	synchronous	n/a
1303.3128065066412	10.501711957151407	39	baseline	0.0	n/a	n/a
1313.8253324013203	20.0	39	heartbeat	0.0	synchronous	n/a
1340.2298446148634	10.729898495264717	40	baseline	0.05	n/a	n/a
1350.970674856566	20.0	40	heartbeat	0.05	synchronous	n/a
1377.5799740608782	10.954151102962005	41	baseline	0.0	n/a	n/a
1388.5453735608608	20.0	41	heartbeat	0.0	synchronous	n/a
1410.1970793446526	10.773956048555963	42	baseline	0.0	n/a	n/a
1420.9821272939444	20.0	42	heartbeat	0.0	synchronous	n/a
1444.8140081400052	10.652299262700911	43	baseline	0.0	n/a	n/a
1455.4772375738248	20.0	43	heartbeat	0.0	synchronous	n/a
1480.4144012853503	10.122565509673871	44	baseline	0.05	n/a	n/a
1490.5473104892299	20.0	44	heartbeat	0.05	synchronous	n/a
1513.3979181926697	10.573130656947505	45	baseline	0.05	n/a	n/a
1523.9819471826777	20.0	45	heartbeat	0.05	synchronous	n/a
1546.39812903665	10.905604276690312	46	baseline	0.0	n/a	n/a
1557.314802536741	20.0	46	heartbeat	0.0	synchronous	n/a
1578.6817815937102	10.741801994642561	47	baseline	0.0	n/a	n/a
1589.4345913724974	20.0	47	heartbeat	0.0	delayed	n/a
1613.765618483536	10.387699872285594	48	baseline	0.0	n/a	n/a
1624.1639204826206	20.0	48	heartbeat	0.0	delayed	n/a
1645.3489926457405	10.362854192276137	49	baseline	0.0	n/a	n/a
1655.7223795559257	20.0	49	heartbeat	0.0	synchronous	n/a
1677.3992505539209	10.787422691886624	50	baseline	0.0	n/a	n/a
1688.197671720758	20.0	50	heartbeat	0.0	synchronous	n/a
1711.733026814647	10.942441196270417	51	baseline	0.0	n/a	n/a
1722.6866377908736	20.0	51	heartbeat	0.0	synchronous	n/a
1744.316539763473	10.615762954802433	52	baseline	0.0	n/a	n/a
1754.9431001478806	20.0	52	heartbeat	0.0	synchronous	n/a
1776.5836461633444	10.011126994564266	53	baseline	0.05	n/a	n/a
1786.6050023771822	20.0	53	heartbeat	0.05	delayed	n/a
1808.1006179312244	10.222451544671895	54	baseline	0.05	n/a	n/a
1818.3334862925112	20.0	54	heartbeat	0.05	delayed	n/a
1841.467333521694	10.832252183454951	55	baseline	0.05	n/a	n/a
1852.3106534592807	20.0	55	heartbeat	0.05	synchronous	n/a
1873.801020805724	10.72612604996354	56	baseline	0.0	n/a	n/a
1884.5381514849141	20.0	56	heartbeat	0.0	delayed	n/a
1906.1347393440083	10.684166703155542	57	baseline	0.0	n/a	n/a
1916.8297968460247	20.0	57	heartbeat	0.0	synchronous	n/a
1938.1014482248574	10.309011800566244	58	baseline	0.05	n/a	n/a
1948.4209783440456	20.0	58	heartbeat	0.05	synchronous	n/a
1970.8682258892804	10.587747158666364	59	baseline	0.05	n/a	n/a
1981.4667849456891	20.0	59	heartbeat	0.05	synchronous	n/a
2003.335082047619	10.324283812701276	60	baseline	0.0	n/a	n/a
2013.669875585474	20.0	60	heartbeat	0.0	synchronous	n/a
2035.251894082874	10.37437428287764	61	baseline	0.05	n/a	n/a
2045.6368982112035	20.0	61	heartbeat	0.05	synchronous	n/a
2068.9023182727396	10.609320166857831	62	baseline	0.0	n/a	n/a
2079.522543752566	20.0	62	heartbeat	0.0	synchronous	n/a
2100.852508066222	10.560079371895569	63	baseline	0.05	n/a	n/a
2111.423359591514	20.0	63	heartbeat	0.05	synchronous	n/a
2132.7861183471978	10.943493452740404	64	baseline	0.0	n/a	n/a
2143.740825819783	20.0	64	heartbeat	0.0	synchronous	n/a
2165.6240973016247	10.047391485463471	65	baseline	0.05	n/a	n/a
