onset	duration	trial	event	delay	response
646.524	10.521499999999946	1	baseline	0.0	n/a
657.0455	20.019500000000107	1	heartbeat	0.0	synchronous
684.4235	10.272000000000048	2	baseline	0.0	n/a
694.6955	20.019999999999982	2	heartbeat	0.0	synchronous
719.0565	10.095500000000015	3	baseline	0.0	n/a
729.152	20.019999999999982	3	heartbeat	0.0	delayed
758.99	10.953499999999963	4	baseline	0.05	n/a
769.9435	20.019499999999994	4	heartbeat	0.05	synchronous
795.6725	10.815500000000043	5	baseline	0.0	n/a
806.488	20.019499999999994	5	heartbeat	0.0	delayed
830.656	10.548500000000104	6	baseline	0.0	n/a
841.2045	20.019499999999994	6	heartbeat	0.0	delayed
864.889	10.635999999999967	7	baseline	0.05	n/a
875.525	20.019499999999994	7	heartbeat	0.05	synchronous
897.272	10.337499999999977	8	baseline	0.05	n/a
907.6095	20.019999999999982	8	heartbeat	0.05	delayed
932.0215	10.881500000000074	9	baseline	0.05	n/a
942.903	20.019999999999982	9	heartbeat	0.05	synchronous
964.555	10.967000000000098	10	baseline	0.05	n/a
975.522	20.019999999999982	10	heartbeat	0.05	synchronous
997.2045	10.138999999999896	11	baseline	0.05	n/a
1007.3435	20.019999999999982	11	heartbeat	0.05	synchronous
1030.7875	10.26150000000007	12	baseline	0.05	n/a
1041.049	20.019999999999982	12	heartbeat	0.05	delayed
1062.821	10.875500000000102	13	baseline	0.05	n/a
1073.6965	20.019999999999982	13	heartbeat	0.05	synchronous
1096.2205	10.841499999999996	14	baseline	0.0	n/a
1107.062	20.02000000000021	14	heartbeat	0.0	delayed
1129.337	10.7025000000001	15	baseline	0.0	n/a
1140.0395	20.019999999999982	15	heartbeat	0.0	synchronous
1161.9535	10.577499999999873	16	baseline	0.0	n/a
1172.531	20.010500000000093	16	heartbeat	0.0	delayed
1196.203	10.855999999999995	17	baseline	0.05	n/a
1207.059	20.019999999999982	17	heartbeat	0.05	synchronous
1230.2695	10.409999999999854	18	baseline	0.0	n/a
1240.6795	20.019999999999982	18	heartbeat	0.0	synchronous
1263.936	10.430500000000166	19	baseline	0.05	n/a
1274.3665	20.019999999999982	19	heartbeat	0.05	delayed
1295.8025	10.289999999999964	20	baseline	0.0	n/a
1306.0925	20.020500000000084	20	heartbeat	0.0	synchronous
1328.6355	10.791999999999916	21	baseline	0.05	n/a
1339.4275	20.019999999999982	21	heartbeat	0.05	delayed
1362.2685	10.37700000000018	22	baseline	0.05	n/a
1372.6455	20.01949999999988	22	heartbeat	0.05	synchronous
1394.885	10.704500000000053	23	baseline	0.05	n/a
1405.5895	20.019999999999982	23	heartbeat	0.05	synchronous
1428.818	10.341000000000122	24	baseline	0.0	n/a
1439.159	20.019999999999982	24	heartbeat	0.0	synchronous
1466.6675	10.17100000000005	25	baseline	0.05	n/a
1476.8385	20.019999999999982	25	heartbeat	0.05	delayed
1501.351	10.501999999999953	26	baseline	0.0	n/a
1511.853	20.019999999999982	26	heartbeat	0.0	synchronous
1533.2005	10.708500000000186	27	baseline	0.0	n/a
1543.909	20.019999999999982	27	heartbeat	0.0	synchronous
1568.9	10.862999999999829	28	baseline	0.05	n/a
1579.763	20.019999999999982	28	heartbeat	0.05	delayed
1602.1995	10.060500000000047	29	baseline	0.05	n/a
1612.26	20.019999999999982	29	heartbeat	0.05	delayed
1633.5495	10.245999999999867	30	baseline	0.0	n/a
1643.7955	20.019999999999982	30	heartbeat	0.0	synchronous
1669.183	10.913999999999987	31	baseline	0.05	n/a
1680.097	20.019999999999982	31	heartbeat	0.05	synchronous
1701.7155	10.170499999999947	32	baseline	0.05	n/a
1711.886	20.019999999999982	32	heartbeat	0.05	delayed
1738.2155	10.45399999999995	33	baseline	0.05	n/a
