onset	duration	trial	event	delay	response
287.1935	10.522500000000036	1	baseline	0.0	n/a
297.716	20.009000000000015	1	heartbeat	0.0	synchronous
324.4595	10.271999999999991	2	baseline	0.0	n/a
334.7315	20.01800000000003	2	heartbeat	0.0	synchronous
358.4095	10.096000000000004	3	baseline	0.05	n/a
368.5055	20.019499999999994	3	heartbeat	0.05	synchronous
390.376	10.954000000000008	4	baseline	0.0	n/a
401.33	20.02000000000004	4	heartbeat	0.0	delayed
425.578	10.816000000000031	5	baseline	0.05	n/a
436.394	20.019999999999982	5	heartbeat	0.05	synchronous
458.3415	10.548999999999978	6	baseline	0.0	n/a
468.8905	20.01950000000005	6	heartbeat	0.0	synchronous
493.9415	10.635999999999967	7	baseline	0.05	n/a
504.5775	20.019499999999994	7	heartbeat	0.05	synchronous
526.7745	10.337499999999977	8	baseline	0.05	n/a
537.112	20.019999999999982	8	heartbeat	0.05	delayed
559.2575	10.880999999999972	9	baseline	0.0	n/a
570.1385	20.019999999999982	9	heartbeat	0.0	delayed
592.7405	10.966000000000008	10	baseline	0.0	n/a
603.7065	20.019499999999994	10	heartbeat	0.0	synchronous
625.8735	10.13900000000001	11	baseline	0.05	n/a
636.0125	20.019499999999994	11	heartbeat	0.05	delayed
657.6735	10.253000000000043	12	baseline	0.0	n/a
667.9265	20.019999999999982	12	heartbeat	0.0	delayed
691.6725	10.875999999999976	13	baseline	0.0	n/a
702.5485	20.019499999999994	13	heartbeat	0.0	synchronous
725.656	10.842000000000098	14	baseline	0.0	n/a
736.498	20.019999999999982	14	heartbeat	0.0	delayed
759.406	10.703500000000076	15	baseline	0.0	n/a
770.1095	20.019499999999994	15	heartbeat	0.0	synchronous
791.7555	10.577499999999986	16	baseline	0.0	n/a
802.333	20.019999999999982	16	heartbeat	0.0	synchronous
825.405	10.856499999999983	17	baseline	0.0	n/a
836.2615	20.019499999999994	17	heartbeat	0.0	synchronous
857.738	10.408999999999992	18	baseline	0.05	n/a
868.147	20.019499999999994	18	heartbeat	0.05	synchronous
889.838	10.430500000000052	19	baseline	0.05	n/a
900.2685	20.019999999999982	19	heartbeat	0.05	synchronous
924.104	10.290499999999952	20	baseline	0.0	n/a
934.3945	20.019499999999994	20	heartbeat	0.0	synchronous
957.837	10.79200000000003	21	baseline	0.05	n/a
968.629	20.019999999999982	21	heartbeat	0.05	synchronous
991.1865	10.376999999999953	22	baseline	0.05	n/a
1001.5635	20.019499999999994	22	heartbeat	0.05	synchronous
1023.6035	10.704499999999939	23	baseline	0.05	n/a
1034.308	20.019999999999982	23	heartbeat	0.05	synchronous
1056.953	10.34050000000002	24	baseline	0.05	n/a
1067.2935	20.019999999999982	24	heartbeat	0.05	delayed
1088.8525	10.170000000000073	25	baseline	0.05	n/a
1099.0225	20.019999999999982	25	heartbeat	0.05	delayed
1121.619	10.50200000000018	26	baseline	0.05	n/a
1132.121	20.01949999999988	26	heartbeat	0.05	synchronous
1153.702	10.708499999999958	27	baseline	0.05	n/a
1164.4105	20.019500000000107	27	heartbeat	0.05	synchronous
1187.3515	10.863000000000056	28	baseline	0.0	n/a
1198.2145	20.019999999999982	28	heartbeat	0.0	synchronous
1220.1345	10.060500000000047	29	baseline	0.0	n/a
1230.195	20.019999999999982	29	heartbeat	0.0	delayed
1251.851	10.245999999999867	30	baseline	0.0	n/a
1262.097	20.019999999999982	30	heartbeat	0.0	delayed
1287.1175	10.913999999999987	31	baseline	0.05	n/a
1298.0315	20.019999999999982	31	heartbeat	0.05	delayed
1321.317	10.170499999999947	32	baseline	0.0	n/a
1331.4875	20.019999999999982	32	heartbeat	0.0	synchronous
1354.1	10.454500000000053	33	baseline	0.0	n/a
1364.5545	20.019500000000107	33	heartbeat	0.0	synchronous
1386.783	10.014000000000124	34	baseline	0.05	n/a
1396.797	20.019999999999982	34	heartbeat	0.05	synchronous
1418.583	10.34849999999983	35	baseline	0.05	n/a
1428.9315	20.019500000000107	35	heartbeat	0.05	synchronous
1450.299	10.189000000000078	36	baseline	0.0	n/a
1460.488	20.007499999999936	36	heartbeat	0.0	synchronous
1481.9985	10.715000000000146	37	baseline	0.0	n/a
1492.7135	20.019999999999982	37	heartbeat	0.0	synchronous
1514.815	10.496499999999969	38	baseline	0.05	n/a
1525.3115	20.019999999999982	38	heartbeat	0.05	synchronous
1547.698	10.512499999999818	39	baseline	0.0	n/a
1558.2105	20.019999999999982	39	heartbeat	0.0	synchronous
1584.6145	10.740999999999985	40	baseline	0.05	n/a
1595.3555	20.02000000000021	40	heartbeat	0.05	synchronous
1621.964	10.96550000000002	41	baseline	0.0	n/a
1632.9295	20.019999999999982	41	heartbeat	0.0	synchronous
1654.5805	10.785000000000082	42	baseline	0.0	n/a
1665.3655	20.019999999999982	42	heartbeat	0.0	synchronous
1689.197	10.663000000000011	43	baseline	0.0	n/a
1699.86	20.02000000000021	43	heartbeat	0.0	synchronous
1724.7965	10.133000000000038	44	baseline	0.05	n/a
1734.9295	20.019999999999982	44	heartbeat	0.05	synchronous
1757.7795	10.583999999999833	45	baseline	0.05	n/a
1768.3635	20.019500000000107	45	heartbeat	0.05	synchronous
1790.779	10.916500000000042	46	baseline	0.0	n/a
1801.6955	20.019999999999982	46	heartbeat	0.0	synchronous
1823.062	10.753000000000156	47	baseline	0.0	n/a
1833.815	20.01949999999988	47	heartbeat	0.0	delayed
1858.1455	10.39799999999991	48	baseline	0.0	n/a
1868.5435	20.019500000000107	48	heartbeat	0.0	delayed
1889.728	10.373499999999922	49	baseline	0.0	n/a
1900.1015	20.019999999999982	49	heartbeat	0.0	synchronous
1921.778	10.798000000000002	50	baseline	0.0	n/a
1932.576	20.019999999999982	50	heartbeat	0.0	synchronous
1956.111	10.953499999999849	51	baseline	0.0	n/a
