onset	duration	trial	event	delay	response	uncertainty
56.38500390946865	10.511821624700257	1	baseline	0.0	n/a	n/a
66.90751524921507	20.0	1	heartbeat	0.0	synchronous	n/a
91.4683703808114	10.261612134249317	2	baseline	0.0	n/a	n/a
101.74053807463497	20.0	2	heartbeat	0.0	synchronous	n/a
124.33524203393608	10.085649167143625	3	baseline	0.05	n/a	n/a
134.43111923430115	20.0	3	heartbeat	0.05	synchronous	n/a
156.4858325496316	10.943056105572367	4	baseline	0.05	n/a	n/a
167.44014052301645	20.0	4	heartbeat	0.05	delayed	n/a
191.5693518286571	10.80500292374538	5	baseline	0.05	n/a	n/a
202.38527227565646	20.0	5	heartbeat	0.05	delayed	n/a
227.25300695747137	10.538164351471943	6	baseline	0.0	n/a	n/a
237.80110631510615	20.0	6	heartbeat	0.0	delayed	n/a
259.20301415771246	10.625095466604668	7	baseline	0.05	n/a	n/a
269.83903739601374	20.0	7	heartbeat	0.05	synchronous	n/a
295.55364123452455	10.326972276605561	8	baseline	0.05	n/a	n/a
305.89112377539277	20.0	8	heartbeat	0.05	synchronous	n/a
327.3538079056889	10.870249203970085	9	baseline	0.0	n/a	n/a
338.23509674239904	20.0	9	heartbeat	0.0	delayed	n/a
359.6372874863446	10.956001709628975	10	baseline	0.0	n/a	n/a
370.60456164646894	20.0	10	heartbeat	0.0	delayed	n/a
391.98772102594376	10.1285702027692	11	baseline	0.05	n/a	n/a
402.1265860479325	20.0	11	heartbeat	0.05	synchronous	n/a
423.6212316500023	10.250824458108447	12	baseline	0.05	n/a	n/a
433.88246047496796	20.0	12	heartbeat	0.05	synchronous	n/a
460.5050186207518	10.864797587016586	13	baseline	0.0	n/a	n/a
471.38084382750094	20.0	13	heartbeat	0.0	delayed	n/a
492.9886289779097	10.830983318889112	14	baseline	0.05	n/a	n/a
503.8305936027318	20.0	14	heartbeat	0.05	delayed	n/a
526.672092593275	10.692743367965152	15	baseline	0.0	n/a	n/a
537.3756889319047	20.0	15	heartbeat	0.0	delayed	n/a
558.8391419826075	10.566916838879365	16	baseline	0.05	n/a	n/a
569.416853884235	20.0	16	heartbeat	0.05	delayed	n/a
590.3728648610413	10.845074792797902	17	baseline	0.05	n/a	n/a
601.2289867354557	20.0	17	heartbeat	0.05	delayed	n/a
622.5898731751367	10.399305769217573	18	baseline	0.05	n/a	n/a
632.9998672604561	20.0	18	heartbeat	0.05	synchronous	n/a
654.1231389660388	10.420378795729262	19	baseline	0.05	n/a	n/a
664.554279493168	20.0	19	heartbeat	0.05	synchronous	n/a
686.9902347065508	10.280075962630159	20	baseline	0.0	n/a	n/a
697.2808745587245	20.0	20	heartbeat	0.0	synchronous	n/a
718.8071187110618	10.781117588817471	21	baseline	0.0	n/a	n/a
729.5992326466367	20.0	21	heartbeat	0.0	delayed	n/a
750.8408579332754	10.366346915432077	22	baseline	0.0	n/a	n/a
761.2179279485717	20.0	22	heartbeat	0.0	delayed	n/a
782.424454155378	10.693933080657365	23	baseline	0.0	n/a	n/a
793.1293105604127	20.0	23	heartbeat	0.0	synchronous	n/a
814.4747473113239	10.330268836669315	24	baseline	0.05	n/a	n/a
824.8156864345074	20.0	24	heartbeat	0.05	delayed	n/a
847.9415160259232	10.160721233232008	25	baseline	0.0	n/a	n/a
858.112560024485	20.0	25	heartbeat	0.0	delayed	n/a
882.1753130955622	10.491598917604904	26	baseline	0.05	n/a	n/a
892.6776301264763	20.0	26	heartbeat	0.05	delayed	n/a
913.9589072037488	10.697736216476786	27	baseline	0.05	n/a	n/a
924.6676448863	20.0	27	heartbeat	0.05	delayed	n/a
946.1091759549454	10.851833935982159	28	baseline	0.0	n/a	n/a
956.9720150446519	20.0	28	heartbeat	0.0	delayed	n/a
980.5094494121149	10.05004697035407	29	baseline	0.05	n/a	n/a
990.569862311706	20.0	29	heartbeat	0.05	synchronous	n/a
1013.7763751447201	10.235798804812532	30	baseline	0.0	n/a	n/a
1024.022748440504	20.0	30	heartbeat	0.0	synchronous	n/a
1046.3098457464948	10.903171810914861	31	baseline	0.05	n/a	n/a
1057.2242490509525	20.0	31	heartbeat	0.05	delayed	n/a
1079.4099734425545	10.160242830374768	32	baseline	0.05	n/a	n/a
1089.580633720383	20.0	32	heartbeat	0.05	synchronous	n/a
1112.06028561946	10.443642236962667	33	baseline	0.0	n/a	n/a
