onset	duration	trial	event	delay	response	uncertainty
62.11729491967708	10.511821624700257	1	baseline	0.0	n/a	n/a
72.63885692320764	20.0	1	heartbeat	0.0	synchronous	n/a
100.01785945519805	10.261612134249317	2	baseline	0.0	n/a	n/a
110.28978257626295	20.0	2	heartbeat	0.0	synchronous	n/a
134.65142922103405	10.085649167143625	3	baseline	0.0	n/a	n/a
144.746862847358	20.0	3	heartbeat	0.0	delayed	n/a
174.58508094307035	10.943056105572367	4	baseline	0.05	n/a	n/a
185.5388825070113	20.0	4	heartbeat	0.05	synchronous	n/a
211.2685236474499	10.80500292374538	5	baseline	0.0	n/a	n/a
222.08386057801545	20.0	5	heartbeat	0.0	delayed	n/a
246.2523393081501	10.538164351471943	6	baseline	0.0	n/a	n/a
256.80084142647684	20.0	6	heartbeat	0.0	delayed	n/a
280.4859419632703	10.625095466604668	7	baseline	0.05	n/a	n/a
291.1218941109255	20.0	7	heartbeat	0.05	synchronous	n/a
312.8695274433121	10.326972276605561	8	baseline	0.05	n/a	n/a
323.20705240778625	20.0	8	heartbeat	0.05	delayed	n/a
347.6197561584413	10.870249203970085	9	baseline	0.05	n/a	n/a
358.5012024259195	20.0	9	heartbeat	0.05	synchronous	n/a
380.1534379934892	10.956001709628975	10	baseline	0.05	n/a	n/a
391.12061920948327	20.0	10	heartbeat	0.05	synchronous	n/a
412.80359318945557	10.1285702027692	11	baseline	0.05	n/a	n/a
422.9424916729331	20.0	11	heartbeat	0.05	synchronous	n/a
446.3872982580215	10.250824458108447	12	baseline	0.05	n/a	n/a
456.64863789919764	20.0	12	heartbeat	0.05	delayed	n/a
478.4210196826607	10.864797587016586	13	baseline	0.05	n/a	n/a
489.2968555241823	20.0	13	heartbeat	0.05	synchronous	n/a
511.8212836794555	10.830983318889112	14	baseline	0.0	n/a	n/a
522.6628588866442	20.0	14	heartbeat	0.0	delayed	n/a
544.9381707450375	10.692743367965152	15	baseline	0.0	n/a	n/a
555.6408646516502	20.0	15	heartbeat	0.0	synchronous	n/a
577.5551175288856	10.566916838879365	16	baseline	0.0	n/a	n/a
588.1328085679561	20.0	16	heartbeat	0.0	delayed	n/a
611.8055064203218	10.845074792797902	17	baseline	0.05	n/a	n/a
622.6615892862901	20.0	17	heartbeat	0.05	synchronous	n/a
645.8724361844361	10.399305769217573	18	baseline	0.0	n/a	n/a
656.2823529634625	20.0	18	heartbeat	0.0	synchronous	n/a
679.5391623750329	10.420378795729262	19	baseline	0.05	n/a	n/a
689.9701681733131	20.0	19	heartbeat	0.05	delayed	n/a
711.4061759840697	10.280075962630159	20	baseline	0.0	n/a	n/a
721.6967845503241	20.0	20	heartbeat	0.0	synchronous	n/a
744.239923613146	10.781117588817471	21	baseline	0.05	n/a	n/a
755.0321450615302	20.0	21	heartbeat	0.05	delayed	n/a
777.8735873755068	10.366346915432077	22	baseline	0.05	n/a	n/a
788.2504613148049	20.0	22	heartbeat	0.05	synchronous	n/a
810.4903724007308	10.693933080657365	23	baseline	0.05	n/a	n/a
821.1952031021938	20.0	23	heartbeat	0.05	synchronous	n/a
844.4242707826197	10.330268836669315	24	baseline	0.0	n/a	n/a
854.7652003094554	20.0	24	heartbeat	0.0	synchronous	n/a
882.2744124149904	10.160721233232008	25	baseline	0.05	n/a	n/a
892.4454805171117	20.0	25	heartbeat	0.05	delayed	n/a
916.958113678731	10.491598917604904	26	baseline	0.0	n/a	n/a
927.4603610541672	20.0	26	heartbeat	0.0	synchronous	n/a
948.8082070639357	10.697736216476786	27	baseline	0.0	n/a	n/a
959.5169721078128	20.0	27	heartbeat	0.0	synchronous	n/a
984.5085605606437	10.851833935982159	28	baseline	0.05	n/a	n/a
995.371544316411	20.0	28	heartbeat	0.05	delayed	n/a
1017.8088409043849	10.05004697035407	29	baseline	0.05	n/a	n/a
1027.8691571177915	20.0	29	heartbeat	0.05	delayed	n/a
1049.1591207617894	10.235798804812532	30	baseline	0.0	n/a	n/a
1059.4053282979876	20.0	30	heartbeat	0.0	synchronous	n/a
1084.7929113702849	10.903171810914861	31	baseline	0.05	n/a	n/a
1095.707197044976	20.0	31	heartbeat	0.05	synchronous	n/a
1117.3263867851347	10.160242830374768	32	baseline	0.05	n/a	n/a
1127.4970673741773	20.0	32	heartbeat	0.05	delayed	n/a
1153.8267382495105	10.443642236962667	33	baseline	0.05	n/a	n/a
1164.2810376165435	20.0	33	heartbeat	0.05	synchronous	n/a
1186.5603988803923	10.004028243493044	34	baseline	0.0	n/a	n/a
1196.5746034262702	20.0	34	heartbeat	0.0	delayed	n/a
1219.0938440524042	10.337949558883725	35	baseline	0.05	n/a	n/a
1229.4423344098032	20.0	35	heartbeat	0.05	synchronous	n/a
