onset	duration	trial	event	delay	response
157.66	10.522500000000008	1	baseline	0.05	n/a
168.1825	20.019499999999994	1	heartbeat	0.05	delayed
199.0425	10.27200000000002	2	baseline	0.0	n/a
209.3145	20.019999999999982	2	heartbeat	0.0	delayed
231.3095	10.095999999999975	3	baseline	0.0	n/a
241.4055	20.019500000000022	3	heartbeat	0.0	delayed
263.4755	10.954499999999996	4	baseline	0.05	n/a
274.43	20.019999999999982	4	heartbeat	0.05	synchronous
297.692	10.816500000000019	5	baseline	0.05	n/a
308.5085	20.019499999999994	5	heartbeat	0.05	synchronous
330.1585	10.548999999999978	6	baseline	0.0	n/a
340.7075	20.02000000000004	6	heartbeat	0.0	synchronous
365.508	10.636000000000024	7	baseline	0.0	n/a
376.144	20.019999999999982	7	heartbeat	0.0	delayed
401.758	10.337500000000034	8	baseline	0.05	n/a
412.0955	20.019999999999982	8	heartbeat	0.05	delayed
433.5745	10.880999999999972	9	baseline	0.0	n/a
444.4555	20.02000000000004	9	heartbeat	0.0	synchronous
465.724	10.966999999999985	10	baseline	0.0	n/a
476.691	20.02000000000004	10	heartbeat	0.0	delayed
498.374	10.138499999999965	11	baseline	0.05	n/a
508.5125	20.02000000000004	11	heartbeat	0.05	synchronous
541.3235	10.26150000000007	12	baseline	0.0	n/a
551.585	20.019999999999982	12	heartbeat	0.0	synchronous
573.1565	10.875999999999976	13	baseline	0.0	n/a
584.0325	20.019999999999982	13	heartbeat	0.0	synchronous
605.073	10.841999999999985	14	baseline	0.0	n/a
615.915	20.019999999999982	14	heartbeat	0.0	delayed
644.1895	10.703500000000076	15	baseline	0.05	n/a
654.893	20.019999999999982	15	heartbeat	0.05	delayed
677.4725	10.577499999999986	16	baseline	0.0	n/a
688.05	20.020000000000095	16	heartbeat	0.0	synchronous
711.9055	10.855999999999995	17	baseline	0.0	n/a
722.7615	20.020000000000095	17	heartbeat	0.0	synchronous
750.572	10.409999999999968	18	baseline	0.0	n/a
760.982	20.019999999999982	18	heartbeat	0.0	synchronous
793.205	10.430499999999938	19	baseline	0.0	n/a
803.6355	20.019999999999982	19	heartbeat	0.0	delayed
827.271	10.290500000000065	20	baseline	0.0	n/a
837.5615	20.019999999999982	20	heartbeat	0.0	synchronous
880.054	10.79200000000003	21	baseline	0.05	n/a
890.846	20.019499999999994	21	heartbeat	0.05	synchronous
911.8205	10.376999999999953	22	baseline	0.05	n/a
922.1975	20.019999999999982	22	heartbeat	0.05	synchronous
969.7365	10.704500000000053	23	baseline	0.0	n/a
980.441	20.019999999999982	23	heartbeat	0.0	synchronous
1016.103	10.340500000000134	24	baseline	0.05	n/a
1026.4435	20.019999999999982	24	heartbeat	0.05	synchronous
1049.5695	10.17100000000005	25	baseline	0.05	n/a
1059.7405	20.01949999999988	25	heartbeat	0.05	delayed
1107.3855	10.501999999999953	26	baseline	0.0	n/a
1117.8875	20.019999999999982	26	heartbeat	0.0	synchronous
1149.485	10.708500000000186	27	baseline	0.05	n/a
1160.1935	20.019999999999982	27	heartbeat	0.05	delayed
1197.6015	10.862499999999955	28	baseline	0.0	n/a
1208.464	20.00850000000014	28	heartbeat	0.0	synchronous
1240.0345	10.059999999999945	29	baseline	0.05	n/a
1250.0945	20.019999999999982	29	heartbeat	0.05	delayed
1282.2175	10.246000000000095	30	baseline	0.0	n/a
1292.4635	20.019999999999982	30	heartbeat	0.0	synchronous
1353.4665	10.91450000000009	31	baseline	0.0	n/a
1364.381	20.01949999999988	31	heartbeat	0.0	delayed
1389.933	10.170499999999947	32	baseline	0.05	n/a
1400.1035	20.019999999999982	32	heartbeat	0.05	delayed
1422.466	10.454500000000053	33	baseline	0.0	n/a
1432.9205	20.019500000000107	33	heartbeat	0.0	delayed
1458.716	10.014000000000124	34	baseline	0.0	n/a
1468.73	20.01949999999988	34	heartbeat	0.0	synchronous
1496.7485	10.348500000000058	35	baseline	0.05	n/a
1507.097	20.019999999999982	35	heartbeat	0.05	synchronous
1537.7985	10.190999999999804	36	baseline	0.05	n/a
1547.9895	20.019999999999982	36	heartbeat	0.05	delayed
1581.6645	10.714999999999918	37	baseline	0.05	n/a
1592.3795	20.019999999999982	37	heartbeat	0.05	delayed
1635.3805	10.496499999999969	38	baseline	0.0	n/a
1645.877	20.019999999999982	38	heartbeat	0.0	delayed
1694.7135	10.512500000000045	39	baseline	0.05	n/a
1705.226	20.019999999999982	39	heartbeat	0.05	synchronous
1741.6965	10.740999999999985	40	baseline	0.0	n/a
1752.4375	20.019500000000107	40	heartbeat	0.0	delayed
1775.613	10.964999999999918	41	baseline	0.05	n/a
1786.578	20.019999999999982	41	heartbeat	0.05	synchronous
1827.2625	10.784999999999854	42	baseline	0.05	n/a
1838.0475	20.019500000000107	42	heartbeat	0.05	synchronous
1869.262	10.663500000000113	43	baseline	0.05	n/a
1879.9255	20.01949999999988	43	heartbeat	0.05	synchronous
1917.995	10.132500000000164	44	baseline	0.0	n/a
1928.1275	20.019999999999982	44	heartbeat	0.0	delayed
1956.3775	10.583999999999833	45	baseline	0.05	n/a
1966.9615	20.02000000000021	45	heartbeat	0.05	synchronous
2002.7105	10.917000000000144	46	baseline	0.05	n/a
2013.6275	20.01949999999988	46	heartbeat	0.05	delayed
2039.077	10.752499999999827	47	baseline	0.0	n/a
2049.8295	20.019999999999982	47	heartbeat	0.0	delayed
2103.443	10.398499999999785	48	baseline	0.05	n/a
