onset	duration	trial	event	delay	response	uncertainty
47.467142490670085	10.511821624700257	1	baseline	0.05	n/a	n/a
57.98971894662827	20.0	1	heartbeat	0.05	synchronous	n/a
87.76762587297708	10.261612134249317	2	baseline	0.0	n/a	n/a
98.0397516079247	20.0	2	heartbeat	0.0	synchronous	n/a
158.35157930199057	10.085649167143625	3	baseline	0.0	n/a	n/a
168.4475391553715	20.0	3	heartbeat	0.0	delayed	n/a
194.90177175030112	10.943056105572367	4	baseline	0.05	n/a	n/a
205.85592152085155	20.0	4	heartbeat	0.05	synchronous	n/a
227.55194744933397	10.80500292374538	5	baseline	0.05	n/a	n/a
238.36796618904918	20.0	5	heartbeat	0.05	delayed	n/a
260.33575978688896	10.538164351471943	6	baseline	0.05	n/a	n/a
270.8847040757537	20.0	6	heartbeat	0.05	delayed	n/a
292.6527696112171	10.625095466604668	7	baseline	0.05	n/a	n/a
303.28241214342415	20.0	7	heartbeat	0.05	synchronous	n/a
325.5529189920053	10.326972276605561	8	baseline	0.05	n/a	n/a
335.89044976606965	20.0	8	heartbeat	0.05	synchronous	n/a
357.11993617843837	10.870249203970085	9	baseline	0.0	n/a	n/a
368.0013513593003	20.0	9	heartbeat	0.0	delayed	n/a
389.88680923730135	10.956001709628975	10	baseline	0.0	n/a	n/a
400.8539978964254	20.0	10	heartbeat	0.0	synchronous	n/a
422.03720405790955	10.1285702027692	11	baseline	0.0	n/a	n/a
432.17613418772817	20.0	11	heartbeat	0.0	delayed	n/a
453.68736872356385	10.250824458108447	12	baseline	0.0	n/a	n/a
463.9485684838146	20.0	12	heartbeat	0.0	synchronous	n/a
486.13770427182317	10.864797587016586	13	baseline	0.0	n/a	n/a
497.0135567560792	20.0	13	heartbeat	0.0	synchronous	n/a
518.0546638527885	10.830983318889112	14	baseline	0.0	n/a	n/a
528.8933812547475	20.0	14	heartbeat	0.0	delayed	n/a
551.3215893562883	10.692743367965152	15	baseline	0.0	n/a	n/a
562.0252141747624	20.0	15	heartbeat	0.0	synchronous	n/a
583.3718352047727	10.566916838879365	16	baseline	0.0	n/a	n/a
593.9478395320475	20.0	16	heartbeat	0.0	synchronous	n/a
616.4220535131171	10.845074792797902	17	baseline	0.05	n/a	n/a
627.2782340738922	20.0	17	heartbeat	0.05	delayed	n/a
648.6557840593159	10.399305769217573	18	baseline	0.0	n/a	n/a
659.0657219430432	20.0	18	heartbeat	0.0	synchronous	n/a
680.97250060644	10.420378795729262	19	baseline	0.05	n/a	n/a
691.4034885335714	20.0	19	heartbeat	0.05	synchronous	n/a
713.4729664353654	10.280075962630159	20	baseline	0.0	n/a	n/a
