onset	duration	trial	event	delay	response	uncertainty
49.10046710399911	10.511821624700257	1	baseline	0.05	n/a	n/a
59.615485907997936	20.0	1	heartbeat	0.05	delayed	n/a
93.26766365626827	10.261612134249317	2	baseline	0.0	n/a	n/a
103.53894160408527	20.0	2	heartbeat	0.0	synchronous	n/a
129.98468124400824	10.085649167143625	3	baseline	0.0	n/a	n/a
140.07998155010864	20.0	3	heartbeat	0.0	delayed	n/a
165.1848168889992	10.943056105572367	4	baseline	0.0	n/a	n/a
176.13894364004955	20.0	4	heartbeat	0.0	synchronous	n/a
199.551738942042	10.80500292374538	5	baseline	0.0	n/a	n/a
210.36696451017633	20.0	5	heartbeat	0.0	synchronous	n/a
232.78539436403662	10.538164351471943	6	baseline	0.0	n/a	n/a
243.3340694210492	20.0	6	heartbeat	0.0	delayed	n/a
264.5691633890383	10.625095466604668	7	baseline	0.05	n/a	n/a
275.2049269848503	20.0	7	heartbeat	0.05	synchronous	n/a
299.73607799690217	10.326972276605561	8	baseline	0.0	n/a	n/a
310.0734808621928	20.0	8	heartbeat	0.0	delayed	n/a
332.41959248902276	10.870249203970085	9	baseline	0.05	n/a	n/a
343.3010455798358	20.0	9	heartbeat	0.05	synchronous	n/a
366.103419077117	10.956001709628975	10	baseline	0.05	n/a	n/a
377.0707152332179	20.0	10	heartbeat	0.05	synchronous	n/a
399.7204151158221	10.1285702027692	11	baseline	0.0	n/a	n/a
409.85905227810144	20.0	11	heartbeat	0.0	delayed	n/a
432.8706883508712	10.250824458108447	12	baseline	0.05	n/a	n/a
443.1320095532574	20.0	12	heartbeat	0.05	synchronous	n/a
464.95406072121114	10.864797587016586	13	baseline	0.05	n/a	n/a
475.8289258899167	20.0	13	heartbeat	0.05	delayed	n/a
497.5710226581432	10.830983318889112	14	baseline	0.0	n/a	n/a
508.4129575388506	20.0	14	heartbeat	0.0	delayed	n/a
529.6713326289319	10.692743367965152	15	baseline	0.05	n/a	n/a
540.3750800061971	20.0	15	heartbeat	0.05	synchronous	n/a
561.6384458532557	10.566916838879365	16	baseline	0.0	n/a	n/a
572.2161433151923	20.0	16	heartbeat	0.0	delayed	n/a
594.0552502321079	10.845074792797902	17	baseline	0.0	n/a	n/a
604.9115242748521	20.0	17	heartbeat	0.0	delayed	n/a
626.622266579885	10.399305769217573	18	baseline	0.0	n/a	n/a
637.0322312461212	20.0	18	heartbeat	0.0	synchronous	n/a
659.5557189579122	10.420378795729262	19	baseline	0.0	n/a	n/a
669.9867261950858	20.0	19	heartbeat	0.0	synchronous	n/a
691.3058963832445	10.280075962630159	20	baseline	0.05	n/a	n/a
701.5964749092236	20.0	20	heartbeat	0.05	synchronous	n/a
723.8562878151424	10.781117588817471	21	baseline	0.0	n/a	n/a
734.6484026438557	20.0	21	heartbeat	0.0	synchronous	n/a
758.0399654400535	10.366346915432077	22	baseline	0.0	n/a	n/a
768.4169122148305	20.0	22	heartbeat	0.0	delayed	n/a
790.55704075424	10.693933080657365	23	baseline	0.05	n/a	n/a
801.2619796688668	20.0	23	heartbeat	0.05	delayed	n/a
823.0404784912243	10.330268836669315	24	baseline	0.0	n/a	n/a
833.3813466141	20.0	24	heartbeat	0.0	delayed	n/a
855.0909493099898	10.160721233232008	25	baseline	0.05	n/a	n/a
865.2621656162664	20.0	25	heartbeat	0.05	synchronous	n/a
886.8410111339763	10.491598917604904	26	baseline	0.05	n/a	n/a
897.3433045200072	20.0	26	heartbeat	0.05	synchronous	n/a
918.841182357166	10.697736216476786	27	baseline	0.0	n/a	n/a
929.5499186571687	20.0	27	heartbeat	0.0	synchronous	n/a
950.8414250928909	10.851833935982159	28	baseline	0.0	n/a	n/a
961.7044423501939	20.0	28	heartbeat	0.0	synchronous	n/a
983.6082872282714	10.05004697035407	29	baseline	0.05	n/a	n/a
