onset	duration	trial	event	delay	response	uncertainty
53.767791060963646	10.511821624700257	1	baseline	0.0	n/a	n/a
64.2903577380348	20.0	1	heartbeat	0.0	synchronous	n/a
87.3011995179113	10.261612134249317	2	baseline	0.0	n/a	n/a
97.57321989489719	20.0	2	heartbeat	0.0	synchronous	n/a
119.46809977688827	10.085649167143625	3	baseline	0.0	n/a	n/a
129.56406043004245	20.0	3	heartbeat	0.0	synchronous	n/a
155.51857116888277	10.943056105572367	4	baseline	0.0	n/a	n/a
166.4727224209346	20.0	4	heartbeat	0.0	synchronous	n/a
189.41877844091505	10.80500292374538	5	baseline	0.0	n/a	n/a
200.23472138587385	20.0	5	heartbeat	0.0	synchronous	n/a
222.16898922505789	10.538164351471943	6	baseline	0.0	n/a	n/a
232.71790457190946	20.0	6	heartbeat	0.0	delayed	n/a
254.73606186686084	10.625095466604668	7	baseline	0.05	n/a	n/a
265.37198891397566	20.0	7	heartbeat	0.05	synchronous	n/a
287.81969540496357	10.326972276605561	8	baseline	0.0	n/a	n/a
298.15725196385756	20.0	8	heartbeat	0.0	delayed	n/a
320.50306329806335	10.870249203970085	9	baseline	0.0	n/a	n/a
331.3844045139849	20.0	9	heartbeat	0.0	synchronous	n/a
353.17012925306335	10.956001709628975	10	baseline	0.05	n/a	n/a
364.13737839483656	20.0	10	heartbeat	0.05	synchronous	n/a
386.77061219187453	10.1285702027692	11	baseline	0.0	n/a	n/a
396.9095606368501	20.0	11	heartbeat	0.0	delayed	n/a
420.1873714439571	10.250824458108447	12	baseline	0.0	n/a	n/a
430.4485726528801	20.0	12	heartbeat	0.0	delayed	n/a
453.1375983469188	10.864797587016586	13	baseline	0.05	n/a	n/a
464.01348004397005	20.0	13	heartbeat	0.05	synchronous	n/a
487.12131097284146	10.830983318889112	14	baseline	0.05	n/a	n/a
497.9633365138434	20.0	14	heartbeat	0.05	delayed	n/a
525.2049751428422	10.692743367965152	15	baseline	0.05	n/a	n/a
535.9086006509606	20.0	15	heartbeat	0.05	synchronous	n/a
562.2551378489006	10.566916838879365	16	baseline	0.0	n/a	n/a
572.8328780599404	20.0	16	heartbeat	0.0	delayed	n/a
596.3720595750492	10.845074792797902	17	baseline	0.05	n/a	n/a
607.2282186630182	20.0	17	heartbeat	0.05	synchronous	n/a
633.6891320350114	10.399305769217573	18	baseline	0.0	n/a	n/a
644.099044371862	20.0	18	heartbeat	0.0	delayed	n/a
