onset	duration	trial	event	delay	response
312.6785	10.522500000000036	1	baseline	0.0	n/a
323.201	20.019999999999982	1	heartbeat	0.0	synchronous
347.7615	10.271999999999991	2	baseline	0.0	n/a
358.0335	20.019999999999982	2	heartbeat	0.0	synchronous
380.628	10.095500000000015	3	baseline	0.05	n/a
390.7235	20.019999999999982	3	heartbeat	0.05	synchronous
412.778	10.954000000000008	4	baseline	0.05	n/a
423.732	20.019999999999982	4	heartbeat	0.05	delayed
447.861	10.816000000000031	5	baseline	0.05	n/a
458.677	20.019499999999994	5	heartbeat	0.05	delayed
483.544	10.548000000000002	6	baseline	0.0	n/a
494.092	20.019999999999982	6	heartbeat	0.0	delayed
515.4935	10.635999999999967	7	baseline	0.05	n/a
526.1295	20.019999999999982	7	heartbeat	0.05	synchronous
551.8435	10.337500000000091	8	baseline	0.05	n/a
562.181	20.019999999999982	8	heartbeat	0.05	synchronous
583.643	10.88149999999996	9	baseline	0.0	n/a
594.5245	20.00750000000005	9	heartbeat	0.0	delayed
615.926	10.967499999999973	10	baseline	0.0	n/a
626.8935	20.019499999999994	10	heartbeat	0.0	delayed
648.276	10.13900000000001	11	baseline	0.05	n/a
658.415	20.019499999999994	11	heartbeat	0.05	synchronous
679.909	10.260999999999967	12	baseline	0.05	n/a
690.17	20.020000000000095	12	heartbeat	0.05	synchronous
716.792	10.875999999999976	13	baseline	0.0	n/a
727.668	20.019999999999982	13	heartbeat	0.0	delayed
749.2755	10.841499999999996	14	baseline	0.05	n/a
760.117	20.019999999999982	14	heartbeat	0.05	delayed
782.958	10.704000000000065	15	baseline	0.0	n/a
793.662	20.019499999999994	15	heartbeat	0.0	delayed
815.1245	10.577999999999975	16	baseline	0.05	n/a
825.7025	20.019499999999994	16	heartbeat	0.05	delayed
846.658	10.855999999999995	17	baseline	0.05	n/a
857.514	20.019999999999982	17	heartbeat	0.05	delayed
878.8745	10.409999999999968	18	baseline	0.05	n/a
889.2845	20.019999999999982	18	heartbeat	0.05	synchronous
910.407	10.430999999999926	19	baseline	0.05	n/a
920.838	20.019999999999982	19	heartbeat	0.05	synchronous
943.274	10.290499999999952	20	baseline	0.0	n/a
953.5645	20.019499999999994	20	heartbeat	0.0	synchronous
975.09	10.791999999999916	21	baseline	0.0	n/a
985.882	20.020000000000095	21	heartbeat	0.0	delayed
1007.123	10.376999999999953	22	baseline	0.0	n/a
1017.5	20.019999999999982	22	heartbeat	0.0	delayed
1038.7065	10.704500000000053	23	baseline	0.0	n/a
1049.411	20.019999999999982	23	heartbeat	0.0	synchronous
1070.756	10.340999999999894	24	baseline	0.05	n/a
1081.097	20.019999999999982	24	heartbeat	0.05	delayed
1104.2225	10.170999999999822	25	baseline	0.0	n/a
1114.3935	20.019500000000107	25	heartbeat	0.0	delayed
1138.4555	10.502500000000055	26	baseline	0.05	n/a
1148.958	20.01949999999988	26	heartbeat	0.05	delayed
1170.2385	10.708499999999958	27	baseline	0.05	n/a
1180.947	20.020500000000084	27	heartbeat	0.05	delayed
1202.3885	10.862499999999955	28	baseline	0.0	n/a
1213.251	20.019999999999982	28	heartbeat	0.0	delayed
1236.788	10.060500000000047	29	baseline	0.05	n/a
1246.8485	20.019999999999982	29	heartbeat	0.05	synchronous
1270.0545	10.246000000000095	30	baseline	0.0	n/a
1280.3005	20.005999999999858	30	heartbeat	0.0	synchronous
1302.5875	10.913999999999987	31	baseline	0.05	n/a
1313.5015	20.019999999999982	31	heartbeat	0.05	delayed
1335.687	10.170500000000175	32	baseline	0.05	n/a
1345.8575	20.019999999999982	32	heartbeat	0.05	synchronous
1368.3365	10.454500000000053	33	baseline	0.0	n/a
1378.791	20.019999999999982	33	heartbeat	0.0	delayed
1400.153	10.014499999999998	34	baseline	0.05	n/a
1410.1675	20.019999999999982	34	heartbeat	0.05	delayed
1432.2695	10.34849999999983	35	baseline	0.05	n/a
1442.618	20.00350000000003	35	heartbeat	0.05	delayed
1464.203	10.190499999999929	36	baseline	0.05	n/a
1474.3935	20.02000000000021	36	heartbeat	0.05	delayed
1496.119	10.715000000000146	37	baseline	0.05	n/a
1506.834	20.01949999999988	37	heartbeat	0.05	delayed
1528.5185	10.497000000000071	38	baseline	0.05	n/a
1539.0155	20.019500000000107	38	heartbeat	0.05	synchronous
1561.6515	10.512500000000045	39	baseline	0.0	n/a
1572.164	20.019999999999982	39	heartbeat	0.0	delayed
1593.4015	10.740999999999985	40	baseline	0.05	n/a
1604.1425	20.019500000000107	40	heartbeat	0.05	synchronous
1625.9845	10.96550000000002	41	baseline	0.05	n/a
1636.95	20.01949999999988	41	heartbeat	0.05	synchronous
1661.2175	10.785000000000082	42	baseline	0.0	n/a
1672.0025	20.019999999999982	42	heartbeat	0.0	delayed
1693.784	10.662999999999784	43	baseline	0.05	n/a
1704.447	20.02000000000021	43	heartbeat	0.05	delayed
1725.967	10.13299999999981	44	baseline	0.0	n/a
1736.1	20.019999999999982	44	heartbeat	0.0	delayed
1759.467	10.583499999999958	45	baseline	0.0	n/a
1770.0505	20.019999999999982	45	heartbeat	0.0	synchronous
1793.3995	10.916999999999916	46	baseline	0.0	n/a
1804.3165	20.019500000000107	46	heartbeat	0.0	synchronous
1827.933	10.752500000000055	47	baseline	0.05	n/a
1838.6855	20.019999999999982	47	heartbeat	0.05	synchronous
1859.9825	10.398500000000013	48	baseline	0.05	n/a
1870.381	20.019999999999982	48	heartbeat	0.05	delayed
1892.449	10.373499999999922	49	baseline	0.05	n/a
