onset	duration	trial	event	delay	response
128.1165	10.521999999999991	1	baseline	0.0	n/a
138.6385	20.02000000000001	1	heartbeat	0.0	synchronous
161.649	10.271999999999991	2	baseline	0.0	n/a
171.921	20.02000000000001	2	heartbeat	0.0	synchronous
193.8155	10.096000000000004	3	baseline	0.0	n/a
203.9115	20.019500000000022	3	heartbeat	0.0	synchronous
229.8655	10.954000000000008	4	baseline	0.0	n/a
240.8195	20.019499999999994	4	heartbeat	0.0	synchronous
263.765	10.816000000000031	5	baseline	0.0	n/a
274.581	20.019499999999994	5	heartbeat	0.0	synchronous
296.5145	10.548999999999978	6	baseline	0.0	n/a
307.0635	20.02000000000004	6	heartbeat	0.0	delayed
329.0815	10.635499999999979	7	baseline	0.05	n/a
339.717	20.02000000000004	7	heartbeat	0.05	synchronous
362.164	10.337500000000034	8	baseline	0.0	n/a
372.5015	20.019000000000005	8	heartbeat	0.0	delayed
394.847	10.881500000000017	9	baseline	0.0	n/a
405.7285	20.019499999999994	9	heartbeat	0.0	synchronous
427.5135	10.966999999999985	10	baseline	0.05	n/a
438.4805	20.019999999999982	10	heartbeat	0.05	synchronous
461.1135	10.13900000000001	11	baseline	0.0	n/a
471.2525	20.019999999999982	11	heartbeat	0.0	delayed
494.5295	10.261500000000012	12	baseline	0.0	n/a
504.791	20.01950000000005	12	heartbeat	0.0	delayed
527.4795	10.875499999999988	13	baseline	0.05	n/a
538.355	20.019999999999982	13	heartbeat	0.05	synchronous
561.4625	10.841999999999985	14	baseline	0.05	n/a
572.3045	20.019499999999994	14	heartbeat	0.05	delayed
599.5455	10.703500000000076	15	baseline	0.05	n/a
610.249	20.019499999999994	15	heartbeat	0.05	synchronous
636.595	10.577499999999986	16	baseline	0.0	n/a
647.1725	20.019999999999982	16	heartbeat	0.0	delayed
670.7115	10.855999999999995	17	baseline	0.05	n/a
681.5675	20.019499999999994	17	heartbeat	0.05	synchronous
708.0275	10.409999999999968	18	baseline	0.0	n/a
718.4375	20.019999999999982	18	heartbeat	0.0	delayed
742.8275	10.43100000000004	19	baseline	0.05	n/a
753.2585	20.019999999999982	19	heartbeat	0.05	delayed
777.9935	10.290499999999952	20	baseline	0.05	n/a
788.284	20.019999999999982	20	heartbeat	0.05	delayed
811.76	10.79200000000003	21	baseline	0.0	n/a
822.552	20.019999999999982	21	heartbeat	0.0	synchronous
844.16	10.376500000000078	22	baseline	0.0	n/a
854.5365	20.019999999999982	22	heartbeat	0.0	synchronous
881.543	10.704499999999939	23	baseline	0.0	n/a
892.2475	20.020000000000095	23	heartbeat	0.0	synchronous
915.426	10.340499999999906	24	baseline	0.0	n/a
925.7665	20.020000000000095	24	heartbeat	0.0	delayed
947.1755	10.170999999999935	25	baseline	0.05	n/a
957.3465	20.019999999999982	25	heartbeat	0.05	synchronous
984.2255	10.501999999999953	26	baseline	0.0	n/a
994.7275	20.019999999999982	26	heartbeat	0.0	synchronous
1016.525	10.708500000000072	27	baseline	0.05	n/a
1027.2335	20.013500000000022	27	heartbeat	0.05	synchronous
1064.2075	10.863000000000056	28	baseline	0.05	n/a
1075.0705	20.019999999999982	28	heartbeat	0.05	synchronous
1096.924	10.060500000000047	29	baseline	0.05	n/a
1106.9845	20.01949999999988	29	heartbeat	0.05	synchronous
1128.274	10.246000000000095	30	baseline	0.0	n/a
1138.52	20.019999999999982	30	heartbeat	0.0	synchronous
1161.54	10.91450000000009	31	baseline	0.05	n/a
1172.4545	20.019999999999982	31	heartbeat	0.05	delayed
1210.1065	10.170499999999947	32	baseline	0.05	n/a
1220.277	20.019999999999982	32	heartbeat	0.05	synchronous
1241.8895	10.45399999999995	33	baseline	0.0	n/a
1252.3435	20.019999999999982	33	heartbeat	0.0	synchronous
1276.3725	10.014000000000124	34	baseline	0.05	n/a
1286.3865	20.019999999999982	34	heartbeat	0.05	delayed
1307.639	10.348500000000058	35	baseline	0.0	n/a
1317.9875	20.019500000000107	35	heartbeat	0.0	synchronous
1339.2555	10.191000000000031	36	baseline	0.0	n/a
1349.4465	20.01949999999988	36	heartbeat	0.0	delayed
1370.8385	10.714999999999918	37	baseline	0.05	n/a
1381.5535	20.019500000000107	37	heartbeat	0.05	synchronous
1406.3545	10.496000000000095	38	baseline	0.05	n/a
1416.8505	20.019999999999982	38	heartbeat	0.05	synchronous
1438.571	10.512500000000045	39	baseline	0.0	n/a
1449.0835	20.019500000000107	39	heartbeat	0.0	synchronous
1473.1205	10.740999999999985	40	baseline	0.0	n/a
1483.8615	20.019999999999982	40	heartbeat	0.0	delayed
1505.3035	10.96550000000002	41	baseline	0.05	n/a
1516.269	20.019500000000107	41	heartbeat	0.05	synchronous
1538.22	10.78449999999998	42	baseline	0.05	n/a
1549.0045	20.019999999999982	42	heartbeat	0.05	delayed
1600.7525	10.663000000000011	43	baseline	0.05	n/a
1611.4155	20.019999999999982	43	heartbeat	0.05	delayed
1632.669	10.13299999999981	44	baseline	0.05	n/a
1642.802	20.019999999999982	44	heartbeat	0.05	delayed
1668.4185	10.58400000000006	45	baseline	0.05	n/a
1679.0025	20.019999999999982	45	heartbeat	0.05	synchronous
1715.235	10.916500000000042	46	baseline	0.0	n/a
1726.1515	20.019999999999982	46	heartbeat	0.0	delayed
1747.4845	10.752999999999929	47	baseline	0.05	n/a
1758.2375	20.019999999999982	47	heartbeat	0.05	synchronous
1779.4345	10.39799999999991	48	baseline	0.0	n/a
1789.8325	20.019999999999982	48	heartbeat	0.0	synchronous
1811.1005	10.373499999999922	49	baseline	0.0	n/a
1821.474	20.019999999999982	49	heartbeat	0.0	synchronous
1844.4335	10.798499999999876	50	baseline	0.0	n/a
1855.232	20.019500000000107	50	heartbeat	0.0	delayed
1878.1335	10.953500000000076	51	baseline	0.05	n/a
1889.087	20.019999999999982	51	heartbeat	0.05	delayed
1947.133	10.62649999999985	52	baseline	0.0	n/a
1957.7595	20.019500000000107	52	heartbeat	0.0	delayed
1979.149	10.02150000000006	53	baseline	0.0	n/a
1989.1705	20.019999999999982	53	heartbeat	0.0	delayed
2024.3655	10.232499999999845	54	baseline	0.0	n/a
2034.598	20.019999999999982	54	heartbeat	0.0	delayed
2056.715	10.842999999999847	55	baseline	0.0	n/a
2067.558	20.019999999999982	55	heartbeat	0.0	synchronous
2110.798	10.736500000000433	56	baseline	0.0	n/a
2121.5345	20.019999999999982	56	heartbeat	0.0	delayed
2143.3975	10.695000000000164	57	baseline	0.0	n/a
2154.0925	20.019999999999982	57	heartbeat	0.0	synchronous
2177.247	10.319500000000062	58	baseline	0.0	n/a
2187.5665	20.019999999999982	58	heartbeat	0.0	synchronous
2252.213	10.598499999999603	59	baseline	0.05	n/a
2262.8115	20.019999999999982	59	heartbeat	0.05	delayed
