onset	duration	trial	event	delay	response
1898.756	20.01949999999988	49	heartbeat	0.05	synchronous
1920.0655	10.798500000000104	50	baseline	0.05	n/a
1930.864	20.01949999999988	50	heartbeat	0.05	synchronous
1952.182	10.953500000000076	51	baseline	0.05	n/a
1963.1355	20.019999999999982	51	heartbeat	0.05	synchronous
1984.465	10.626500000000078	52	baseline	0.0	n/a
1995.0915	20.019999999999982	52	heartbeat	0.0	synchronous
2018.3645	10.02150000000006	53	baseline	0.0	n/a
2028.386	20.019999999999982	53	heartbeat	0.0	delayed
2050.181	10.233000000000175	54	baseline	0.0	n/a
2060.414	20.01949999999988	54	heartbeat	0.0	synchronous
2081.9975	10.842999999999847	55	baseline	0.0	n/a
2092.8405	20.019999999999982	55	heartbeat	0.0	synchronous
2113.9805	10.73700000000008	56	baseline	0.05	n/a
2124.7175	20.019999999999982	56	heartbeat	0.05	synchronous
2146.18	10.695000000000164	57	baseline	0.05	n/a
2156.875	20.019999999999982	57	heartbeat	0.05	delayed
2178.7135	10.319500000000062	58	baseline	0.05	n/a
2189.033	20.01949999999988	58	heartbeat	0.05	synchronous
2211.0965	10.597999999999956	59	baseline	0.05	n/a
2221.6945	20.019999999999982	59	heartbeat	0.05	synchronous
2243.1795	10.334499999999935	60	baseline	0.05	n/a
2253.514	20.019999999999982	60	heartbeat	0.05	delayed
2275.6125	10.384999999999764	61	baseline	0.0	n/a
2285.9975	20.01949999999988	61	heartbeat	0.0	synchronous
2307.0955	10.619500000000244	62	baseline	0.0	n/a
2317.715	20.01949999999988	62	heartbeat	0.0	synchronous
2339.362	10.57049999999981	63	baseline	0.05	n/a
2349.9325	20.019999999999982	63	heartbeat	0.05	synchronous
2371.462	10.954499999999825	64	baseline	0.0	n/a
2382.4165	20.019500000000335	64	heartbeat	0.0	delayed
2403.5615	10.057500000000346	65	baseline	0.05	n/a
2413.619	20.019999999999982	65	heartbeat	0.05	synchronous
2435.1945	10.934999999999945	66	baseline	0.0	n/a
2446.1295	20.01949999999988	66	heartbeat	0.0	synchronous
2467.261	10.42450000000008	67	baseline	0.05	n/a
2477.6855	20.019999999999982	67	heartbeat	0.05	delayed
2498.694	10.49499999999989	68	baseline	0.05	n/a
2509.189	20.019500000000335	68	heartbeat	0.05	synchronous
2530.11	10.591499999999996	69	baseline	0.0	n/a
2540.7015	20.01949999999988	69	heartbeat	0.0	delayed
2562.51	10.390999999999622	70	baseline	0.05	n/a
2572.901	20.019999999999982	70	heartbeat	0.05	synchronous
2593.8095	10.264000000000124	71	baseline	0.0	n/a
2604.0735	20.019999999999982	71	heartbeat	0.0	synchronous
2625.243	10.84900000000016	72	baseline	0.0	n/a
2636.092	20.01949999999988	72	heartbeat	0.0	synchronous
2657.2255	10.503499999999804	73	baseline	0.0	n/a
2667.729	20.019999999999982	73	heartbeat	0.0	delayed
2689.542	10.905500000000302	74	baseline	0.05	n/a
2700.4475	20.019999999999982	74	heartbeat	0.05	synchronous
2721.8585	10.223500000000058	75	baseline	0.05	n/a
2732.082	20.019999999999982	75	heartbeat	0.05	synchronous
2753.292	10.817000000000007	76	baseline	0.0	n/a
2764.109	20.019999999999982	76	heartbeat	0.0	synchronous
2785.1915	10.797000000000025	77	baseline	0.0	n/a
2795.9885	20.019999999999982	77	heartbeat	0.0	synchronous
2817.358	10.428999999999633	78	baseline	0.05	n/a
2827.787	20.019999999999982	78	heartbeat	0.05	synchronous
2848.941	10.930500000000393	79	baseline	0.05	n/a
2859.8715	20.01949999999988	79	heartbeat	0.05	synchronous
2881.0905	10.7475000000004	80	baseline	0.05	n/a
2891.838	20.019999999999982	80	heartbeat	0.05	synchronous
2913.0735	10.445000000000164	81	baseline	0.05	n/a
2923.5185	20.01949999999988	81	heartbeat	0.05	synchronous
2944.64	11.009000000000015	82	baseline	0.05	n/a
2955.649	20.019500000000335	82	heartbeat	0.05	delayed
2978.4895	10.32699999999977	83	baseline	0.0	n/a
2988.8165	20.019999999999982	83	heartbeat	0.0	synchronous
3009.9225	10.742999999999938	84	baseline	0.0	n/a
3020.6655	20.019999999999982	84	heartbeat	0.0	synchronous
3041.6055	10.054499999999734	85	baseline	0.0	n/a
3051.66	20.019999999999982	85	heartbeat	0.0	synchronous
3073.0725	10.625999999999749	86	baseline	0.0	n/a
3083.6985	20.019999999999982	86	heartbeat	0.0	synchronous
3104.9385	10.581499999999778	87	baseline	0.0	n/a
3115.52	20.019999999999982	87	heartbeat	0.0	delayed
3136.6885	10.216999999999643	88	baseline	0.0	n/a
3146.9055	20.019500000000335	88	heartbeat	0.0	synchronous
3168.0545	10.586999999999989	89	baseline	0.0	n/a
3178.6415	20.01949999999988	89	heartbeat	0.0	delayed
3202.1545	10.38299999999981	90	baseline	0.0	n/a
3212.5375	20.01949999999988	90	heartbeat	0.0	synchronous
3233.4375	10.293500000000222	91	baseline	0.0	n/a
3243.731	20.019999999999982	91	heartbeat	0.0	synchronous
3281.0745	10.611499999999978	92	baseline	0.05	n/a
3291.686	20.01949999999988	92	heartbeat	0.05	synchronous
3312.924	10.996500000000196	93	baseline	0.0	n/a
3323.9205	20.019999999999982	93	heartbeat	0.0	delayed
3344.757	10.25	94	baseline	0.05	n/a
3355.007	20.019999999999982	94	heartbeat	0.05	synchronous
3375.8235	10.552000000000135	95	baseline	0.05	n/a
3386.3755	20.019999999999982	95	heartbeat	0.05	synchronous
3407.19	10.733999999999924	96	baseline	0.05	n/a
3417.924	20.019999999999982	96	heartbeat	0.05	synchronous
3439.006	10.685500000000047	97	baseline	0.05	n/a
3449.6915	20.019999999999982	97	heartbeat	0.05	delayed
3470.5725	10.954999999999927	98	baseline	0.0	n/a
3481.5275	20.01949999999988	98	heartbeat	0.0	delayed
3502.572	10.516999999999825	99	baseline	0.05	n/a
3513.089	20.019999999999982	99	heartbeat	0.05	synchronous
3534.0385	10.846000000000004	100	baseline	0.0	n/a
3544.8845	20.019999999999982	100	heartbeat	0.0	synchronous
