onset	duration	trial	event	delay	response
286.808	10.52249999999998	1	baseline	0.05	n/a
297.3305	20.02000000000004	1	heartbeat	0.05	delayed
323.841	10.271999999999991	2	baseline	0.0	n/a
334.113	20.019999999999982	2	heartbeat	0.0	synchronous
357.824	10.096000000000004	3	baseline	0.05	n/a
367.92	20.019999999999982	3	heartbeat	0.05	synchronous
390.0905	10.954499999999996	4	baseline	0.05	n/a
401.045	20.019999999999982	4	heartbeat	0.05	synchronous
422.1405	10.816000000000031	5	baseline	0.0	n/a
432.9565	20.019999999999982	5	heartbeat	0.0	synchronous
454.0735	10.548999999999978	6	baseline	0.05	n/a
464.6225	20.019999999999982	6	heartbeat	0.05	delayed
485.8065	10.634999999999991	7	baseline	0.0	n/a
496.4415	20.02049999999997	7	heartbeat	0.0	synchronous
517.6065	10.337499999999977	8	baseline	0.0	n/a
527.944	20.019499999999994	8	heartbeat	0.0	delayed
550.3395	10.880999999999972	9	baseline	0.0	n/a
561.2205	20.019999999999982	9	heartbeat	0.0	synchronous
582.4725	10.966999999999985	10	baseline	0.05	n/a
593.4395	20.020000000000095	10	heartbeat	0.05	synchronous
614.589	10.138999999999896	11	baseline	0.05	n/a
624.728	20.019499999999994	11	heartbeat	0.05	delayed
645.939	10.261000000000081	12	baseline	0.05	n/a
656.2	20.019999999999982	12	heartbeat	0.05	delayed
677.0055	10.875499999999988	13	baseline	0.0	n/a
687.881	20.019999999999982	13	heartbeat	0.0	synchronous
709.1385	10.841499999999996	14	baseline	0.05	n/a
719.98	20.019999999999982	14	heartbeat	0.05	delayed
742.838	10.703500000000076	15	baseline	0.0	n/a
753.5415	20.02049999999997	15	heartbeat	0.0	delayed
776.371	10.577999999999975	16	baseline	0.05	n/a
786.949	20.020000000000095	16	heartbeat	0.05	delayed
808.1045	10.855999999999995	17	baseline	0.05	n/a
818.9605	20.019999999999982	17	heartbeat	0.05	synchronous
840.2205	10.409999999999968	18	baseline	0.05	n/a
850.6305	20.019999999999982	18	heartbeat	0.05	synchronous
871.954	10.43100000000004	19	baseline	0.05	n/a
882.385	20.019999999999982	19	heartbeat	0.05	delayed
903.2705	10.290000000000077	20	baseline	0.0	n/a
913.5605	20.02049999999997	20	heartbeat	0.0	synchronous
934.7365	10.79200000000003	21	baseline	0.05	n/a
945.5285	20.019999999999982	21	heartbeat	0.05	synchronous
966.47	10.376499999999965	22	baseline	0.0	n/a
976.8465	20.019999999999982	22	heartbeat	0.0	delayed
997.8025	10.705000000000041	23	baseline	0.05	n/a
1008.5075	20.019999999999868	23	heartbeat	0.05	synchronous
1029.6695	10.34050000000002	24	baseline	0.05	n/a
1040.01	20.019999999999982	24	heartbeat	0.05	synchronous
1061.469	10.17100000000005	25	baseline	0.05	n/a
1071.64	20.019999999999982	25	heartbeat	0.05	delayed
1092.6185	10.502500000000055	26	baseline	0.05	n/a
1103.121	20.019999999999982	26	heartbeat	0.05	delayed
